Date,Value
1941,110.96
1942,119.4
1943,135.89
1944,152.32
1945,192.91
1946,177.2
1947,181.16
1948,177.3
1949,200.13
1950,235.41
1951,269.23
1952,291.9
1953,280.9
1954,404.39
1955,488.4
1956,499.47
1957,435.69
1958,583.65
1959,679.36
1960,615.89
1961,731.14
1962,652.1
1963,762.95
1964,874.13
1965,969.26
1966,785.69
1967,905.11
1968,943.75
1969,800.36
1970,838.92
1971,890.2
1972,1020.02
1973,850.86
1974,616.24
1975,852.41
1976,1004.65
1977,831.17
1978,805.01
1979,838.74
1980,963.99
1981,875
1982,1046.54
1983,1258.64
1984,1211.57
1985,1546.67
1986,1895.95
1987,1938.83
1988,2168.57
1989,2753.2
1990,2633.66
1991,3168.83
1992,3301.11
1993,3754.09
1994,3834.44
1995,5117.12
1996,6448.26
1997,7908.24
1998,9181.43
1999,11497.12
2000,10786.85
2001,10021.5
2002,8341.63
2003,10453.92
2004,10783.01
2005,10717.5
2006,12463.15
2007,13264.82
2008,8776.39
2009,10428.05
2010,11577.51
2011,12217.56
2012,13104.14
2013,16576.66
