DATE,TAVG
1870,53.8
1871,51.3
1872,51.3
1873,50.9
1874,51.3
1875,49.4
1876,51.9
1877,52.8
1878,53.6
1879,52.1
1880,52.9
1881,52.2
1882,51.7
1883,50.2
1884,52.2
1885,50.6
1886,51.3
1887,50.9
1888,49.4
1889,52.8
1890,53
1891,54.1
1892,52.2
1893,50.7
1894,52.9
1895,53
1896,53.6
1897,53.6
1898,55.1
1899,53.9
1900,54.2
1901,52.4
1902,53
1903,53
1904,50.9
1905,53.4
1906,55
1907,52.9
1908,55
1909,53.7
1910,53.5
1911,53.4
1912,52.7
1913,54.9
1914,51.9
1915,53.4
1916,52.2
1917,50.7
1918,53.1
1919,53.8
1920,52.2
1921,54.8
1922,53.5
1923,52.8
1924,51.9
1925,53.4
1926,51.2
1927,53.4
1928,53.5
1929,54.1
1930,54.5
1931,55.8
1932,55.1
1933,54.2
1934,52.9
1935,53
1936,53.4
1937,54.4
1938,55.2
1939,54.6
1940,51.9
1941,54.9
1942,54
1943,53.7
1944,54.6
1945,54.1
1946,55.3
1947,53.7
1948,54
1949,56.9
1950,53.6
1951,54.9
1952,55.8
1953,57
1954,54.9
1955,54.6
1956,53.5
1957,55.4
1958,52.5
1959,55.4
1960,54
1961,55
1962,53.4
1963,53.5
1964,54.5
1965,54.2
1966,55
1967,52.9
1968,54
1969,54.8
1970,54.2
1971,55.2
1972,53.8
1973,56
1974,54.7
1975,54.9
1976,53.3
1977,54.3
1978,52.9
1979,55.7
1980,54.9
1981,55.2
1982,54.8
1983,56
1984,55.4
1985,55.5
1986,55.2
1987,55.1
1988,54.8
1989,53.9
1990,57.2
1991,57.2
1992,53.9
1993,55.5
1994,55.2
1995,55.3
1996,53.7
1997,54.3
1998,57.1
1999,56.5
2000,53.8
2001,56.2
2002,56.4
2003,53.4
2004,54.5
2005,55.7
2006,56.8
2007,55
2008,55.3
2009,54
2010,56.7
2011,56.4
2012,57.3
2013,55.3
2014,54.4
2015,56.7
2016,57.2
